"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.71040520961113e-16,0.685469763480752,0.527,0.377,3.7170497044607e-12,"0","RGS10"
3.18915088478918e-15,0.855218436217431,0.397,0.255,4.37360152339988e-11,"0","GYPC"
3.70705074494046e-15,0.534030886731782,0.738,0.606,5.08384939161135e-11,"0","EIF4A2"
4.80726555802686e-15,1.06469442603093,0.264,0.141,6.59268398627804e-11,"0","TRAT1"
7.87661915459822e-15,0.257256178704443,0.99,0.977,1.0801995508616e-10,"0","GNB2L1"
2.37087387417161e-14,0.970176180798322,0.39,0.257,3.25141643103895e-10,"0","DNAJB1"
1.6512221577118e-13,0.28490242196941,0.964,0.967,2.26448606708596e-09,"0","EEF1D"
7.9902024723966e-13,0.407663647986805,0.77,0.641,1.09577636706447e-08,"0","HSPA8"
8.26959533519251e-13,0.28570323884825,0.9,0.843,1.1340923042683e-08,"0","RPL23"
9.94589755285187e-13,0.522114227846355,0.636,0.496,1.36398039039811e-08,"0","EVL"
2.44463243134678e-12,0.72525283904049,0.321,0.193,3.35256891634898e-08,"0","OCIAD2"
5.99307140919243e-12,0.46014935083312,0.731,0.624,8.2188981305665e-08,"0","ZFP36L2"
6.4308364504908e-12,0.509439357397462,0.46,0.338,8.81924910820308e-08,"0","FYB"
8.19850763720495e-12,0.772437631397876,0.311,0.188,1.12434333736629e-07,"0","LAT"
1.88358505595592e-11,0.555452446767494,0.597,0.483,2.58314854573794e-07,"0","SOD1"
2.3463344901851e-11,0.466890033224781,0.669,0.578,3.21776311983984e-07,"0","COMMD6"
3.07218734381554e-11,0.743664027139148,0.377,0.26,4.21319772330863e-07,"0","PRDX2"
7.3365355915396e-11,0.707705087051618,0.337,0.222,1.00613249102374e-06,"0","SLC2A3"
8.79199667253159e-11,0.522956080270836,0.473,0.349,1.20573442367098e-06,"0","PEBP1"
1.08288449736162e-10,0.341616394507067,0.887,0.851,1.48506779968173e-06,"0","PABPC1"
1.19567535872588e-10,0.349437988859382,0.623,0.511,1.63974918695668e-06,"0","GIMAP7"
1.26035793634843e-10,0.290778381977796,0.422,0.282,1.72845487390824e-06,"0","CD2"
1.40420702028363e-10,0.29220239365168,0.79,0.714,1.92572950761697e-06,"0","SRSF5"
1.97990457722108e-10,0.868510834197377,0.392,0.271,2.715241137201e-06,"0","ACAP1"
5.14722846734353e-10,0.677419637103455,0.552,0.458,7.05890912011492e-06,"0","TRAF3IP3"
6.9957038715454e-10,0.586378217020819,0.478,0.376,9.59390828943736e-06,"0","ST13"
7.19493589567311e-10,0.297942668648355,0.694,0.568,9.8671350873261e-06,"0","CXCR4"
1.48695916917895e-09,0.893675894198602,0.26,0.164,2.03921580461201e-05,"0","PSIP1"
1.99065825067241e-09,0.302092898740501,0.873,0.793,2.72998872497215e-05,"0","DDX5"
2.30470752486776e-09,0.387141114074657,0.753,0.678,3.16067589960365e-05,"0","COX7C"
2.13508177483281e-08,0.383895668778916,0.451,0.329,0.000292805114600571,"0","CD69"
2.1790341079775e-08,0.330876231750403,0.746,0.664,0.000298832737568034,"0","NBEAL1"
3.50995090960795e-08,0.301732104670885,0.779,0.73,0.000481354667743634,"0","JUN"
